,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Method,Data Type,Region
421,Integrated Wireless Sensor Network and Machine Learning Algorithm Based Forest Fire Detection System,R. Mahajan; R. Priyadarshini,"Department of Electronics and Communication Engineering, Hindustan College of Science and Technology, Mathura, Uttar Pradesh; Department of Electrical Electronics and communication Engineering, Sharda University, Gr. Noida, India",2023 12th International Conference on System Modeling & Advancement in Research Trends (SMART),19-Feb-24,2023,,,275,279,"Wildfires have become a major menace worldwide, creating several harmful effects on individual & wildlife abode and woodland environment. Pollution, climatic changes, loss of biodiversity, extinction of several plants & animals and global warming are among the consequences of forest fires. Besides certain natural factors such as lightning, extremely high temperature conditions etc, sometimes human activities are also responsible for igniting forest fires such as campfire. Therefore, to reduce damage caused by occurrence of forest fires, it is important to detect fires in their early phase. This paper put forth a realistic method to detect wildfires at an early stage using sensor networks and machine learning in combination. Algorithms for machine learning use data to identify patterns and make predictions or decisions. Machine learning models are algebraic representations of patterns and relationships in the data. Different kinds of models exist, for example, decision trees, neural networks, linear regression and others. The problem at hand determines the model to choose. In this paper, relationship between a dependent variable and one or more independent variables is depicted by fitting a linear equation to the observed data using the linear regression approach. Using DBSCAN clustering algorithm, fire and no fire data analysis is also done.",2767-7362,979-8-3503-6988-5,10.1109/SMART59791.2023.10428403,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10428403,sensor networks;machine learning model;linear regression technique;clustering algorithm;sensor nodes,Wireless sensor networks;Machine learning algorithms;Wildfires;Linear regression;Machine learning;Forestry;Mathematical models,,,,13.0,IEEE,19-Feb-24,,,IEEE,IEEE Conferences,"['machine learning', 'wireless sensor networks']","['weather data', 'fire data']",['Global']
422,Multi-Modal AI for Enhanced Forest Fire Early Detection: Scalar and Image Fusion,T. Azzabi; M. H. Jeridi; I. Mejri; T. Ezzedine,"Laboratory LR-19-DN02, Tunisian Naval Academy, Menzel Bourguiba, Tunisia; Tunisian Naval Academy, Menzel Bourguiba, Tunisia; SYSCOM - LR-99-ES21, National Engineering School of Tunis - ENIT; SYSCOM - LR-99-ES21, National Engineering School of Tunis - ENIT",2024 IEEE International Conference on Advanced Systems and Emergent Technologies (IC_ASET),23-Jul-24,2024,,,1,6,"Forest fires pose significant threats to both the environment and human safety, underscoring the critical im-portance of early detection methods. This article introduces a novel approach grounded in artificial intelligence to enhance the early detection of forest fires. The fusion of sensor tech-nology and imagery holds substantial potential for augmenting prediction accuracy. Sensors furnish crucial environmental data encompassing factors such as temperature, humidity, and wind speed, all pivotal in the ignition and propagation of forest fires. In contrast, imagery supplies visual evidence of fire or smoke presence, a particularly invaluable asset in densely forested regions where vegetation cover can obscure sensor-derived infor-mation. Employing machine learning algorithms proficient in the analysis and interpretation of this composite data, we achieve a heightened level of accuracy in forest fire detection and probabil-ity prediction. This methodology undergoes rigorous evaluation using historical forest fire datasets, demonstrating impressive effectiveness in detecting fires. The potential applications extend to the enhancement of early warning systems for forest fires, ultimately mitigating the loss of life and property attributable to these catastrophic events.",,979-8-3503-8489-5,10.1109/IC_ASET61847.2024.10596250,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10596250,Forest Fires;Scalar sensors;Artificial intelligence;Machine Learning;Deep Learning;rTPNN;CNN;Multi-sensor fusion;Concentrations;Smoke density,Deep learning;Temperature sensors;Visualization;Temperature distribution;Accuracy;Wind speed;Vegetation mapping,,,,16.0,IEEE,23-Jul-24,,,IEEE,IEEE Conferences,['machine learning'],"['weather data', 'fire data']",[]
423,RSD: A Safety Decision-Making Algorithm Under Cyber Attacks for Natural Disaster Monitoring,X. Gao; W. Guo; G. Huang; Y. Zheng; C. Xie; L. Dong; L. Cui,"China Datang Corporation, Science and Technology General Research Institute Ltd., Beijing, China; China Datang Corporation, Science and Technology General Research Institute Ltd., Beijing, China; China Datang Corporation, Science and Technology General Research Institute Ltd., Beijing, China; China Datang Corporation, Science and Technology General Research Institute Ltd., Beijing, China; Cyber Emergency Response Team, China Industrial Control Systems, Beijing, China; Cyber Emergency Response Team, China Industrial Control Systems, Beijing, China; School of Automation, Beijing Institute of Technology, Beijing, China",2023 China Automation Congress (CAC),19-Mar-24,2023,,,2652,2657,"As global temperatures increase, forest fires have increased in frequency and size. The multi-robot system can monitor the fire spread trend in real-time and provide effective information for the global decision-making center. Furthermore, attackers may prevent some robots from making optimal decisions. Therefore, this paper studies the multi-robot cooperative forest fire monitoring problem under cyber attacks, where each robot has the ability to make autonomous decisions. First, the forest fire monitoring problem is considered as a maximum area coverage problem, and the single-step actions of each robot are selected based on the principle of maximizing the submodular function. Based on this, this paper proposes a robust decision-making algorithm that can minimize the attacker's influence on the decision, even in the worst case. Finally, the simulation results verify that the proposed algorithm can achieve maximum forest fire monitoring.",2688-0938,979-8-3503-0375-9,10.1109/CAC59555.2023.10451484,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10451484,Natural disaster monitoring;multi-robot systems;cyber attacks;safety decision-making;submodar maximization,Temperature sensors;Temperature measurement;Heuristic algorithms;Simulation;Disasters;Decision making;Forestry,,,,17.0,IEEE,19-Mar-24,,,IEEE,IEEE Conferences,['simulation'],"['weather data', 'fire data']",['Global']
424,Enhancing Satellite-Based Wildfire Monitoring: Advanced Contextual Model Using Environmental and Structural Information,T. Sung; Y. Kang; J. Im,"Department of Civil, Urban, Earth, and Environmental Engineering, Ulsan National Institute of Science and Technology, Ulsan, South Korea; Department of Civil, Urban, Earth, and Environmental Engineering, Ulsan National Institute of Science and Technology, Ulsan, South Korea; Department of Civil, Urban, Earth, and Environmental Engineering, Graduate School of Carbon Neutrality, and the Artificial Intelligence Graduate School, Ulsan National Institute of Science and Technology, Ulsan, South Korea",IEEE Transactions on Geoscience and Remote Sensing,10-Jul-24,2024,62,,1,16,"Satellite-based wildfire detection models provide real-time data that is essential for effective management of wildfires, whose frequency and intensity are increasing. However, conventional temperature anomaly-based contextual algorithms fail to incorporate environmental and structural information, resulting in poor generalization capabilities across various environmental conditions and wildfire intensities. This study developed a novel machine learning-based wildfire detection model incorporating advanced contextual features to fulfill the deficiencies of conventional contextual (CC) algorithms. Specifically, two advanced contextual features—considering the baseline environment (ACE) and structural similarity (ACS)—were introduced, and their effectiveness was assessed relative to CC features. The integration of ACE and ACS significantly enhanced the performance of all the evaluated machine learning algorithms, with the light gradient boosting machine (LGBM) model, considering ACE and ACS as input variables, achieving the highest accuracy (precision: 98.56%; recall: 97.78%;  ${F}1$ -score: 98.17%). Owing to its heightened detection sensitivity, the LGBM model identified additional wildfires that the GEO-KOMPSAT-2A (GK-2A) forest fire (FF) products had failed to detect. The variations in the environmental heterogeneity and wildfire intensity significantly diminished the effectiveness of conventional temperature anomaly-based algorithms. ACE and ACS effectively mitigated performance deterioration attributable to environmental heterogeneity and intensity variations, respectively. This investigation analyzed the potential error sources in conventional satellite-based wildfire detection models and applied a novel methodology to refine them, ultimately proposing a model that can be generalized across varied environmental conditions and wildfire intensities.",1558-0644,,10.1109/TGRS.2024.3418475,National Research Foundation of Korea (NRF) Grant through the Ministry of Science and Information and Communication Technology (MSIT)(grant numbers:NRF-2021R1A2C2008561); Korea Environment Industry and Technology Institute (KEITI) through the project for developing an observation-based Greenhouse Gase (GHG) emissions geospatial information map; Korea Ministry of Environment (MOE)(grant numbers:RS-2023-00232066); Satellite Information Application Project of the Korea Aerospace Research Institute (KARI); Research and Development Program for Forest Science Technology provided by Korea Forest Service (Korea Forestry Promotion Institute)(grant numbers:RS-2024-00404017);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10570242,Contextual features;environmental correlation;geostationary satellite;machine learning;structural similarity;wildfire detection,Wildfires;Forests;Vegetation mapping;Spatial resolution;Grasslands;MODIS;Feature extraction,,,,71.0,IEEE,24-Jun-24,,,IEEE,IEEE Journals,"['machine learning', 'remote sensing']","['weather data', 'fire data']",[]
425,A Modeling Approach to Quantify Wildfire Risk in Power Systems Operations Using Data Availability and Deep Learning Techniques,A. Umunnakwe; K. Davis,NA; NA,2022 IEEE Power & Energy Society General Meeting (PESGM),27-Oct-22,2022,,,1,5,"Electric power systems are subject to severe damages caused by high impact low probability events such as wildfires. The effects of wildfire threats on power systems operation include power outages and economic losses. As a critical infrastructure, power systems are expected to estimate these events in order to reduce inherent risks, but the estimation of wildfire occurrence is an irksome task given its highly stochastic nature and relatively low probability of occurrence. This paper leverages the advancements offered by data availability and deep learning techniques to propose an empirical, gridded, spatio-temporal approach, as opposed to the conventional utility approach of wildfire threat areas and levels, towards more granular estimation of the probability of wildfire occurrence. Historical ignition points and diurnal weather-predictor data from 1996 to 2016 were collected, preprocessed and features extracted as training data for quantitative analysis. The fire spread is modeled as a function of wind speed and landuse data. The risk optimization of the power system is then demonstrated using the IEEE 24-bus test system.",1944-9933,978-1-6654-0823-3,10.1109/PESGM48719.2022.9917145,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9917145,power system risk;stochastic wildfire estimation;wildfire probability maps,Power systems;Fuels;Ignition;Data models;Predictive models;Meteorology;Fires,,,,,IEEE,27-Oct-22,,,IEEE,IEEE Conferences,"['machine learning', 'optimization']","['weather data', 'fire data']",[]
426,Research on Fire Risk Level Prediction Based on XGBoost Algorithm,S. Yang; H. Li; Y. Fan,"Shenyang Fire Science and Technology Research Institute of MEM, Shenyang, China; College of Management, Liaoning, Communication University, Shenyang, China; Shenyang Fire Science and Technology Research Institute of MEM, Shenyang, China",2022 International Conference on Artificial Intelligence and Autonomous Robot Systems (AIARS),14-Nov-22,2022,,,73,77,"Aiming at the problem of fire risk level assessment, this paper first analyzes the annual fire data of a northern city, and then establishes a multi-classification model based on XGBoost algorithm to predict the risk level of rural and residential building fires with the action of multiple factors. Finally, the conformity of the model is analyzed. The experimental results show that the XGBoost algorithm has high accuracy in predicting the fire risk level. The risk level of agricultural building fires and residential building fires is highly correlated with the initial fuels, the cause of the fire, the temperature, the date and the administrative area.",,978-1-6654-5457-5,10.1109/AIARS57204.2022.00024,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9943082,fire risk level;XGBoost algorithm;prediction model;risk assessment,Analytical models;Temperature;Correlation;Buildings;Urban areas;Predictive models;Prediction algorithms,,,,10.0,IEEE,14-Nov-22,,,IEEE,IEEE Conferences,['machine learning'],"['weather data', 'fire data']",[]
427,Machine Learning Approach in Fire Risk Estimation,I. N. Kosović; D. Škurić Kuraži,"Research Department, Ericsson Nikola Tesla, Split, Croatia; Research Department, Ericsson Nikola Tesla, Zagreb, Croatia","2021 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)",12-Oct-21,2021,,,1,6,"Forest fire weather index (FWI), empirical model for fire risk estimation based on temperature, humidity and wind speed and precipitation, is used by European Forest Fire Information System (EFFIS) and by Croatian Meteorological and Hydrological Service (DHMZ). EFFIS also estimates fires based on satellite images, which is not precise enough for Croatia forest fires because the number actual fires were several times higher number of real fires in southernmost part of Croatia (Dalmatia). The aims of the paper is to examine the possibility of Machine Learning (ML) in identification of forest fire risk by using only meteorological measurements and to compare ML in forest fire risk identification to widely used Fire Weather Index (FWI). Three different ML models have been built and compared - logistic regression, random forest and artificial neural network on two different sets of features on period 2017-2018. The contribution of the paper is the process of ML and FWI models comparison based on actual fires and generated no-fires. The actual fire database have been manually collected from Croatian Fire Brigade website. Our results show that the best model according to F-score is multiple layer perceptron (MLP) with temperature, humidity, wind speed and ultra violet index (UVI) (F-score is 0.78), while FWI model that seems to be good according to F-score is FWI > 11.2 (F-score is 0.7). The disadvantage of both FWI and ML models is that they report ’Fire’ in high percentage of situations in Dalmatia during fire season.",1847-358X,978-953-290-109-2,10.23919/SoftCOM52868.2021.9559064,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9559064,fire weather index;machine learning;forest fire danger;copernicus;effis,Satellites;Wind speed;Ultraviolet sources;Estimation;Forestry;Humidity;Software,,,,23.0,,12-Oct-21,,,IEEE,IEEE Conferences,"['machine learning', 'wireless sensor networks', 'remote sensing']","['weather data', 'fire data']",[]
432,Estimation of Probability Density of Potential Fire Intensity Using Quantile Regression and Bi-Directional Long Short-Term Memory,R. Chen; Y. Li; J. Yin; C. Fan; Y. Zhang; B. He; C. Liu,"School of Resources and Environment, University of Electronic Science and Technology of China; School of Resources and Environment, University of Electronic Science and Technology of China; School of Resources and Environment, University of Electronic Science and Technology of China; School of Resources and Environment, University of Electronic Science and Technology of China; School of Resources and Environment, University of Electronic Science and Technology of China; School of Resources and Environment, University of Electronic Science and Technology of China; School of Resources and Environment, University of Electronic Science and Technology of China",IGARSS 2023 - 2023 IEEE International Geoscience and Remote Sensing Symposium,20-Oct-23,2023,,,2516,2519,"Accurate estimation of potential fire intensity (PFI) can improve wildfire management. The PFI can be simulated by fire spread models, but with immeasurable uncertainties. There are also some difficulties in estimating PFI with multi-source drivers, since the fire spread is limited by fire suppression. This study aimed to estimate the probability density of PFI over southwestern China, using time-series fuel and weather data as well as topographic data. The Quantile Regression and Bi-directional Long Short-Term Memory were selected to establish the prediction model of PFI. The results showed that the QR-BiLSTM performed best at the 90% confidence level. The modal PFI values extracted from the estimated probability density were closer to the observed values. This study suggests the potential of probability density estimation of PFI with artificial intelligence, for which improves wildfire risk assessment.",2153-7003,979-8-3503-2010-7,10.1109/IGARSS52108.2023.10281759,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10281759,Wildfire;potential fire intensity;probability density;quantile regression;Bi-directional Long Short-Term Memory,Training;Uncertainty;Estimation;Bidirectional control;Surfaces;Risk management;Fuels,,,,20.0,IEEE,20-Oct-23,,,IEEE,IEEE Conferences,['simulation'],"['weather data', 'fire data']",['Asia']
439,A Remote Sensing and Meteorological Data-Based Methodology for Wildfire Danger Assessment for China,Q. Xie; X. Quan; B. He,"School of Resources and Environment, University of Electronic Science and Technology of China, Chengdu, Sichuan, China; School of Resources and Environment, University of Electronic Science and Technology of China, Chengdu, Sichuan, China; School of Resources and Environment, University of Electronic Science and Technology of China, Chengdu, Sichuan, China",IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium,17-Feb-21,2020,,,6798,6801,"Wildfire is one of the major environmental issue in economic, social and environmental damages globally. Three major forces are essential for understanding the wildfire occurrence, fuel, weather and topography, as regulated by the `fire environment triangle'. Within this concept, a big database that involved all the satellite-derived fuel parameters (fuel moisture content and its derived variables, Leaf area index and vegetation type), weather parameters (relative humidity, air temperature, precipitation, wind speed), satellite-derived topography parameters (slope, aspect, elevation) and corresponding historical wildfires events that calculated from the MODIS burned area product (MCD64A1) was built from 2001-2018 over China. To explore the relations between wildfires and these parameters, the random forest model was developed to mine the relations between the explanatory variables (fuel, weather and topography parameters) and the dependent variable (historical wildfires events). Results showed that the models obtained a high accuracy level in fire spatial pattern distribution, indicating reasonable capacity in predicting wildfire occurrence in China.",2153-7003,978-1-7281-6374-1,10.1109/IGARSS39084.2020.9324063,"National Natural Science Foundation of China(grant numbers:41801272,41671361);",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9324063,Wildfire danger;Fuel moisture content (FMC);Remote sensing;Meteorological data,Fires;Fuels;Remote sensing;Moisture;Biological system modeling;Meteorology;Vegetation mapping,,,,20.0,IEEE,17-Feb-21,,,IEEE,IEEE Conferences,['remote sensing'],['weather data'],"['Asia', 'Global']"
440,Using Power Infrastructures for Wildfire Detection in California,E. Erickson; R. Slobodin; M. Poshtan; T. Taufik; J. Callenes,"California Polytechnic State University, San Luis Obispo, CA; California Polytechnic State University, San Luis Obispo, CA; California Polytechnic State University, San Luis Obispo, CA; California Polytechnic State University, San Luis Obispo, CA; California Polytechnic State University, San Luis Obispo, CA",2020 IEEE Power & Energy Society Innovative Smart Grid Technologies Conference (ISGT),07-May-20,2020,,,1,5,"Large wildfires can cause significant damages to communities and ecosystems. In California in 2018, 87 people were killed, 2 billion acres were burned, and $16.5 billion in costs were incurred by the State. With increased drought and weather variability, this problem is likely only to worsen. In this paper we propose an approach for detecting early onset fires by leveraging equipment already deployed in existing power grid infrastructures, including those that cover remote areas. Our approach is based on the observation that radiated heat from fires quickly results in changes in transmission line temperatures and sag. As the transmission line temperature increase from radiated heat from a fire, the line also expands in length resulting in sag. By monitoring line temperatures and sag, we show that early onset wildfires (e.g. a 50 m2 wildfire) can be detected in less than a minute and up to 120m away from the transmission line.",2472-8152,978-1-7281-3103-0,10.1109/ISGT45199.2020.9087666,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9087666,Wildfires;Heat Transfer;Early Fire Detection;Transmission Line Sag;Smart Grids,,,,,14.0,IEEE,07-May-20,,,IEEE,IEEE Conferences,[],['weather data'],['USA']
441,Calculating the Fire Weather Index for US wildfires using a GPU,J. Kuzmanova; M. Gusev; V. Zdraveski,"Faculty of Computer Science and Engineering, University Ss Cyril and Methodius, Skopje, North Macedonia; Faculty of Computer Science and Engineering, University Ss Cyril and Methodius, Skopje, North Macedonia; Faculty of Computer Science and Engineering, University Ss Cyril and Methodius, Skopje, North Macedonia","2020 43rd International Convention on Information, Communication and Electronic Technology (MIPRO)",06-Nov-20,2020,,,260,264,"The Forest Fire Weather Index allows the assessment of fire danger using weather variables in order to increase preparedness to prevent or halt the spread of wildfires. It often needs to be computed over large areas, taking weather data from hundreds of thousands of stations. CUDA parallel programming can be used to do this more efficiently. This paper presents a CPU and a GPU version as a solution to this problem, using historic datasets of wildfires and weather in the US to measure performance.",2623-8764,978-953-233-099-1,10.23919/MIPRO48935.2020.9245199,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9245199,,Parallel programming;Graphics processing units;Fires;Forestry;Indexes;Meteorology,,,,9.0,,06-Nov-20,,,IEEE,IEEE Conferences,[],['weather data'],['USA']
442,Characteristics and Mechanisms of Rod-Rod Electrode Gap Breakdown Induced by High-temperature and Clean Flame,J. Xu; F. You; W. HuangFu; K. Shui; S. Zhou; Z. Fu,"College of Safety Science and Engineering, Nanjing Tech University, Nanjing, China; College of Safety Science and Engineering, Nanjing Tech University, Nanjing, China; College of Safety Science and Engineering, Nanjing Tech University, Nanjing, China; College of Safety Science and Engineering, Nanjing Tech University, Nanjing, China; College of Safety Science and Engineering, Nanjing Tech University, Nanjing, China; College of Safety Science and Engineering, Nanjing Tech University, Nanjing, China",2019 9th International Conference on Fire Science and Fire Protection Engineering (ICFSFPE),06-Apr-20,2019,,,1,4,"In order to investigate influence of high-temperature and intense flames derived from real wildfires on air gap breakdown properties around high voltage transmission lines, a rod-rod electrode breakdown-discharge test system under clean flame conditions was developed. After igniting ethanol, the gap between two copper rod electrodes was adjusted from 3.0 to 8.0 cm above and into the bulk flame, and dynamic charge load (from 0 to 50 kV) was applied externally to electrodes at each gap distance until there occurred breakdown across air gap. Evolution waveform and data of leaked current and instantaneous breakdown were recorded during the breakdown and discharge processes. Results show that under condition of high-temperature flame (750.0 °C~850.0 °C), breakdown voltages decrease by 55.7 %~68.3 % and 78.6 %~82.9 % when the flame is not bridged and bridged between two electrodes compared with those in pure air atmosphere. Under the action of a certain portion of flame plasma, insulating strength of rod-rod gap decreases significantly compared with that of pure air, which indicates that the high-temperature flame has a great influence on the formation and development of streamer, and is easier to form discharge channels.",,978-1-7281-5322-3,10.1109/ICFSFPE48751.2019.9055773,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9055773,wildfire;high voltage transmission lines;air gap;discharge breakdown;electric field distortion,,,,,14.0,IEEE,06-Apr-20,,,IEEE,IEEE Conferences,[],['weather data'],[]
443,Topological Data Analysis of Fire Prone Weather Conditions in California,H. Kim,,2019 IEEE Integrated STEM Education Conference (ISEC),24-Oct-19,2019,,,3,3,"The recent drought trend in California poses multiple threats to the United States economy and security and also increases the risk of wildfires. Wildfires cause serious air quality issues during the dry seasons and increase the number of mudslides in the subsequent rainy seasons. Frequent and severe wildfires are often correlated with abnormally warm and dry climates. However, this relationship is not linear, which means that there are other factors potentially influencing these fires. The objective of this study is to use topological data analysis (TDA) to detect and classify nonlinear patterns in weather data. In order to examine the fire-prone summer weather in California, TDA is applied to various weather variables, including temperature, relative humidity, and precipitation. The five most and least intense fire seasons in California, both in the summer and winter, are chosen to compare the frequency of fires and the burned area data, taken from the California Department of Forestry and Fire Protection. Various pairs of two weather variables, e.g. temperature and humidity, are analyzed. Using the TDA package in R the Kernel distance, persistence diagrams, and barcode graphs are compared between the active and inactive fire seasons. This study will discuss the similarities and differences between active and inactive fire seasons based on these TDA results.",2330-331X,978-1-7281-1502-3,10.1109/ISECon.2019.8881997,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8881997,,Fires;Data analysis;Humidity;Conferences;Market research;Security,,,,0.0,IEEE,24-Oct-19,,,IEEE,IEEE Conferences,[],['weather data'],['USA']
444,"The effectiveness of WMT activities to reduce hotspots during El-Nino in 2014–2015 in Ogan Komering Ilir District, South Sumatra",I. Athoillah; R. M. Sibarani; N. F. Zahroh; Z. Siboro; Tukiyat; F. Renggono; F. Sunarto; T. H. Seto,"National Laboratory for Weather Modification Technology, Agency for The Assesment and Application of Technology, South Tangerang, Indonesia; National Laboratory for Weather Modification Technology, Agency for The Assesment and Application of Technology, South Tangerang, Indonesia; National Laboratory for Weather Modification Technology, Agency for The Assesment and Application of Technology, South Tangerang, Indonesia; National Laboratory for Weather Modification Technology, Agency for The Assesment and Application of Technology, South Tangerang, Indonesia; National Laboratory for Weather Modification Technology, Agency for The Assesment and Application of Technology, South Tangerang, Indonesia; National Laboratory for Weather Modification Technology, Agency for The Assesment and Application of Technology, South Tangerang, Indonesia; National Laboratory for Weather Modification Technology, Agency for The Assesment and Application of Technology, South Tangerang, Indonesia; National Laboratory for Weather Modification Technology, Agency for The Assesment and Application of Technology, South Tangerang, Indonesia","2019 IEEE Asia-Pacific Conference on Geoscience, Electronics and Remote Sensing Technology (AGERS)",12-Mar-20,2019,,,10,14,"Smoke disasters caused by land and forest fires tend to very often occur in peatlands during dry season. Dry season occurs during periods in which rain intensity decreases, causing the land to dry and become prone to burn. Weather modification technology, or WMT, is an alternative solution that can increase rain intensity in a region during dry season by adding NaCl into potential rain clouds. This paper discusses the effectiveness of using WMT during weak El-Nino year in 2014 and strong El-Nino year in 2015 in Ogan Komering Ilir District (Kab. OKI), a region containing numerous peatlands in South Sumatra Province. This study uses track seeding data to determine the location of potential cloud seeding, humidity data to assess the level of atmospheric drought in the region, and rain and hotspot data to analyze the effectiveness of cloud seeding activities in the study period in Kab. OKI. The study results obtained during September-November 2014 and 2015 proved that WMT had been considerably useful, considering that Kab. OKI had relative increase in rainfall intensity and decrease of hotspots during that period. The year 2014 was classified as having weak El-Nino period, in which the rainfall gradient was positive (0.0348) and the gradient hotspot was negative (-0.3846). The same incident occurred in 2015 during a strong El-Nino.",,978-1-7281-5077-2,10.1109/AGERS48446.2019.9034349,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9034349,weather modification technology;smoke disaster;El-Nino;hotspot;rainfall,Clouds;Rain;Forestry;Fires;Humidity;Conferences,,,,12.0,IEEE,12-Mar-20,,,IEEE,IEEE Conferences,[],['weather data'],[]
445,Smart Property Insurance using IoT,P. P. Ramnathan; S. Revathy; V. Mani,"Information Technology, Sathyabama Institute Of Science And Technology, Chennai, Tamil Nadu; School of Computing, Sathyabama Institute Of Science And Technology, Chennai, Tamil Nadu; System Engineer at TCS, Chennai, Tamilnadu",2020 4th International Conference on Intelligent Computing and Control Systems (ICICCS),19-Jun-20,2020,,,796,800,"IoT has already enforced in many industries including insurance domain. In this paper, a smart reliable insurance system is proposed, for both the insured and the insurer. The main objective of the paper is to detect fire and water clogging incidents by using smart connected sensors. Billions of data is being generated from the IoT enabled connected devices like sensors, to measure temperature, bumidity, smoke etc., These information will be sent to the insurance underwriter to contact on emergency and can permit insurers to dynamically process insurance policies and to calculate premium based on risks.",,978-1-7281-4876-2,10.1109/ICICCS48265.2020.9121052,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9121052,Internet of Thing;flame sensor;ultrasonic sensors;Arduino;raspberry pi;Wi-Fi module;data;database,Temperature sensors;Temperature measurement;Industries;Temperature distribution;Insurance;Companies;Sensor systems,,,,12.0,IEEE,19-Jun-20,,,IEEE,IEEE Conferences,[],['weather data'],[]
446,Spatio-Temporal Clustering for Fire Hot Spots Occurrence Over Sulawesi Island,A. Vatresia; R. R. Rais; R. S. Miliana,"Fakultas Teknik, Universitas Bengkulu, Bengkulu, Indonesia; Kementrian Kehutanan dan, Lingkungan Hidup, Bengkulu, Indonesia; Fakultas Teknik, Universitas Bengkulu, Bengkulu, Indonesia",2020 FORTEI-International Conference on Electrical Engineering (FORTEI-ICEE),10-Nov-20,2020,,,156,161,"Forest fire is a condition where an area where there are many trees and plants undergo a change in shape caused by massive burning. Forest fires occur in Indonesia especially on the island of Sulawesi. Sulawesi Island itself is an island that still has quite extensive forests. The cause of forest fires is caused by two factors, namely natural and human. Indicators of forest fires can be known from the appearance of hotspots or hot spots. A hotspot is an indicator of an area that has a relatively higher surface temperature than the surrounding surface temperature that has been detected by Terra / Aqua satellites with a MODIS sensor. Furthermore, the hotspots are not only randomly distributed but also clustered. The research related to the identification process of hotspot distribution patterns in an area in Sulawesi is still limited and has its novelty. Here we showed the implementation of Spatio-temporal clustering method with ST-DBSCAN algorithm, aided with Waterfall system development. The result showed that there are several types of distribution patterns generated by the system (Stationary, Regular Reaping, Irregular, Occasional, and Track) from the data used from 2016 to 2018 over Sulawesi island. In this research, we also found that between 2016 and 2018, the emergence of high tendency hotspots occurred in July, August, September, and October.",,978-1-7281-9434-9,10.1109/FORTEI-ICEE50915.2020.9249779,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9249779,Hotspot;Sulawesi;ST-DBSCAN;Clustering;Indonesia,Forestry;Clustering algorithms;Satellites;Testing;MODIS;Temperature sensors;System analysis and design,,,,27.0,IEEE,10-Nov-20,,,IEEE,IEEE Conferences,['remote sensing'],['weather data'],['Asia']
447,Electrically Small Huygens Dipole Rectennas for Wirelessly Powering Internet-of-Things Sensors,W. Lin; R. W. Ziolkowski,"Global Big Data Technologies Centre, School of Electrical and Data Engineering, University of Technology Sydney, Ultimo, Sydney, Australia; Global Big Data Technologies Centre, School of Electrical and Data Engineering, University of Technology Sydney, Ultimo, Sydney, Australia",2020 14th European Conference on Antennas and Propagation (EuCAP),08-Jul-20,2020,,,1,4,"Linearly-polarized (LP) and circularly-polarized (CP) electrically small Huygens dipole rectennas for wirelessly powering compact Internet-of-Things (IoT) sensors at 915 MHz in the ISM band are reported. They are realized through the seamless integration of electrically small near-field resonant parasitic-based Huygens LP and CP antennas with a highly efficient rectifier circuit. The Huygens LP (HLP) antenna achieves a cardioid-shaped realized gain (RG) pattern with RG=3.8 dBi at the targeted frequency. Similarly the Huygens CP (HCP) antenna generates a cardioid pattern with RG=3.2 dBic and a 1.7 dB axial ratio value. Notably, the HLP and HCP antennas have inductive input impedances that facilitate matching directly to the 50-$\omega$ source, thus eliminating a lossy inductor in the original rectifier. The prototyped HLP and HCP rectennas achieve close to 90% AC to DC conversion efficiency. Light and temperature IoT sensors wirelessly powered with custom-designed versions of these rectennas are successfully demonstrated.",,978-88-31299-00-8,10.23919/EuCAP48036.2020.9135988,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9135988,,Temperature sensors;Rectennas;Dipole antennas;Rectifiers;Resonant frequency;RLC circuits;Europe,,,,23.0,,08-Jul-20,,,IEEE,IEEE Conferences,[],['weather data'],[]
